"";"ID.SENTENÇA";"SENTENÇA";"ARG1";"REL";"ARG2";"COERÊNCIA";"subordinada";"sistemas"
"77";78;"O ministro Rubens Ricupero ( Fazenda ) negou que os recursos tenham sido desviados para fins não - sociais . ";"( Fazenda ) ";" negou";"que ";"";"os recursos  /   tenham sido desviados /  para fins não - sociais ";"stanford, stanford, stanford, stanford, orange, orange, orange, orange, mquni, mquni, mquni, mquni, lys, lys, lys, lys, dptoie, dptoie, dptoie, dptoie"
"78";78;"O ministro Rubens Ricupero ( Fazenda ) negou que os recursos tenham sido desviados para fins não - sociais . ";"O ministro ";" negou";"que ";"";"os recursos  /   tenham sido desviados /  para fins não - sociais ";"stanford, orange, mquni, lys, dptoie"
"79";78;"O ministro Rubens Ricupero ( Fazenda ) negou que os recursos tenham sido desviados para fins não - sociais . ";"Rubens Ricupero ";" negou";"que ";"";"os recursos  /   tenham sido desviados /  para fins não - sociais ";"stanford, stanford, stanford, stanford, orange, orange, orange, orange, mquni, mquni, mquni, mquni, lys, lys, lys, lys, dptoie, dptoie, dptoie, dptoie"
"80";83;"Drasco Todos jogadores que treinei sabem quem é Tostão , o melhor atacante de a história de o futebol para manter uma bola , organizar o jogo , fazer a tabela . ";"Todos jogadores ";" sabem";"";"";"quem  /   é Tostão /  o melhor atacante de a história de o futebol ";"dptoie"
"81";83;"Drasco Todos jogadores que treinei sabem quem é Tostão , o melhor atacante de a história de o futebol para manter uma bola , organizar o jogo , fazer a tabela . ";"Todos jogadores ";" sabem";"";"";"quem  /   é Tostão /  o melhor atacante de a história de o futebol para manter uma bola ";"dptoie"
"82";83;"Drasco Todos jogadores que treinei sabem quem é Tostão , o melhor atacante de a história de o futebol para manter uma bola , organizar o jogo , fazer a tabela . ";"Todos jogadores ";" sabem";"";"";"quem  /   é Tostão /  para manter uma bola ";"dptoie"
"83";85;"O que se vê é um Jagger entediado com seus shows , tocando tamborins a o lado de Richards em um avião , enquanto garotas nuas são atacadas por os roadies que acompanham os Stones . ";"O ";" é um Jagger";"enquanto ";"";"garotas nuas  /   são atacadas /  por os roadies que acompanham os Stones ";"mquni"
"84";85;"O que se vê é um Jagger entediado com seus shows , tocando tamborins a o lado de Richards em um avião , enquanto garotas nuas são atacadas por os roadies que acompanham os Stones . ";"O ";" é um Jagger";"entediado com seus shows , tocando tamborins a o lado de Richards em um avião enquanto ";"";"garotas nuas  /   são atacadas /  por os roadies que acompanham os Stones ";"mquni"
"85";88;"A intervenção veio como medida saneadora , pois permite enfrentar com maior firmeza um problema cuja solução era repetidamente adiada por motivos políticos . ";"A intervenção ";" veio";"";"";"um problema  /   era repetidamente adiada /  por motivos políticos ";"dptoie"
"86";88;"A intervenção veio como medida saneadora , pois permite enfrentar com maior firmeza um problema cuja solução era repetidamente adiada por motivos políticos . ";"A intervenção ";" veio";"como medida saneadora pois permite enfrentar com maior firmeza ";"";"um problema  /   era repetidamente adiada /  por motivos políticos ";"dptoie"
"87";91;"Medeiros , que participou de a reunião de ontem , disse que sua candidatura viabiliza a candidatura de Esperidião Amin a a Presidência . ";"Medeiros ";" disse";"que ";"";"sua candidatura  /   viabiliza /  a candidatura de Esperidião Amin ";"stanford, orange, mquni, lys, dptoie"
"88";91;"Medeiros , que participou de a reunião de ontem , disse que sua candidatura viabiliza a candidatura de Esperidião Amin a a Presidência . ";"Medeiros ";" disse";"que ";"";"sua candidatura  /   viabiliza /  a candidatura de Esperidião Amin a a Presidência ";"stanford, orange, mquni, lys, dptoie"
"89";100;"Os empresários e empregados de o ramo de papel em São Paulo , por exemplo , fundaram e administram um hospital de 220 leitos que custa , em média , apenas 10 % de o que a empresa recolhe para o INSS . ";"Os empresários e empregados de o ramo de papel em São Paulo ";" fundaram";"";"";"a empresa  /   recolhe /  para o INSS ";"stanford"
